steps,timestamp,x_pos,y_pos,z_pos,x_vel,y_vel
0,4469.09.00,-71147.18.00,-131567.13.00,-107413.19.00,-198779.46.00,"-8,55E+02"
1,22.130.703.699.999.900,-712971.27.00,-1317.52.00,-1074695.35.00,-240605.15.00,-360521.27.00
2,22.131.484.999.999.900,-71323.28.00,-131592.36.00,-1074771.35.00,-244599.08.00,-551823.57.00
3,5680.24.00,-71358.16.00,-131596.47.00,-107476.19.00,-24311.37.00,-647510.54.00
4,5813.13.00,-713817.06.00,-13161.52.00,-107481.33.00,-2490.33.00,-850.09.00
5,22.134.304.699.999.900,-714055.46.00,-131604.36.00,-1074858.15.00,-245426.49.00,-94408.45.00
6,22.135.499.299.999.900,-71437.14.00,-131608.47.00,-107478.54.00,-217501.11.00,-730510.07.00
7,6346.49.00,-714683.36.00,-13163.04.00,-107470.34.00,-263162.47.00,-872828.44.00
8,6472.41.00,-714894.23.00,-131615.56.00,-1074710.44.00,-222153.36.00,-31482.28.00
9,285.29.00,-715203.46.00,-131619.52.00,-107460.56.00,-242781.37.00,-1407981.55.00
10,22.139.549.699.999.900,-715381.47.00,-131623.05.00,-107458.54.00,-217947.04.00,-62588.26.00
11,7005.22.00,-715689.14.00,-13164.28.00,-107442.58.00,-29324.28.00,-97835.36.00
12,22.141.551.099.999.900,-715900.16.00,-13164.46.00,-1074403.24.00,-266556.46.00,-628228.27.00
13,22.142.690.299.999.900,-716258.54.00,-131633.13.00,-107423.14.00,-339774.23.00,-143498.31.00
14,22.143.559.199.999.900,-71643.14.00,-131635.57.00,-107418.12.00,-15766.53.00,44928.58.00
15,7605.21.00,-7165.25.00,-13165.36.00,-107414.26.00,-291869.52.00,-994171.37.00
16,979.08.00,-716908.28.00,-131641.34.00,-107401.58.00,-210007.14.00,"-1,39E+02"
17,22.146.754.199.999.900,-717109.15.00,-131643.19.00,-1073883.36.00,-38348.46.00,-253991.51.00
18,22.147.511.699.999.900,-717311.36.00,-13166.22.00,-107376.58.00,-233704.34.00,-256606.06.00
19,8346.51.00,-71748.51.00,-131647.05.00,-10736.31.00,-435351.07.00,-286386.16.00
20,22.149.507.799.999.900,-71773.48.00,-131649.02.00,-107357.48.00,-381178.37.00,-450099.25.00
21,8683.51.00,-718018.47.00,-131649.57.00,-107347.23.00,-365083.37.00,-472321.04.00
22,22.151.495.799.999.900,-71819.25.00,-13166.47.00,-1073279.36.00,-385674.16.00,-418294.28.00
23,22.152.754.099.999.900,-71852.34.00,-131651.32.00,-1073154.26.00,-49319.07.00,-147470.06.00
24,9137.33.00,-718770.44.00,-131651.06.00,-107299.19.00,-4467.38.00,118193.05.00
25,22.154.757.099.999.900,-719136.07.00,-131651.53.00,-107283.24.00,-387520.27.00,-81416.43.00
26,9468.51.00,-719265.16.00,-131651.13.00,-107271.38.00,-368954.04.00,128155.47.00
27,22.156.755.199.999.900,-71970.09.00,-133.39.00,-1072439.55.00,-566596.12.00,"-1,22E+02"
28,9804.52.00,-719978.36.00,-131651.37.00,-107224.39.00,-456114.27.00,142843.18.00
29,1200.15.00,-720272.43.00,-13166.56.00,-10717.52.00,-317774.54.00,1067483.06.00
30,22.159.494.899.999.900,-720441.35.00,-131650.52.00,-107143.36.00,-475070.45.00,86079.05.00
31,10350.38.00,-72089.46.00,-131650.01.00,-107078.15.00,-493842.01.00,40756.16.00
32,10468.51.00,-72106.42.00,-131649.11.00,-1070228.35.00,-400.02.00,127545.53.00
33,22.162.756.299.999.900,-72144.21.00,-131647.31.00,-106915.44.00,-486455.44.00,53677.46.00
34,22.163.488.199.999.900,-721614.52.00,-13166.25.00,-1068365.05.00,-44857.38.00,371084.47.00
35,22.164.693.499.999.900,-722026.57.00,-131644.44.00,-106694.04.00,-545594.09.00,316279.02.00
36,22.165.579.599.999.900,-722165.13.00,-131642.21.00,-106586.32.00,-38765.25.00,1122293.34.00
37,11336.04.00,-722447.43.00,-131639.08.00,-1063960.25.00,-551016.32.00,18091.51.00
38,22.167.587.999.999.900,-722643.25.00,-131635.43.00,-1062620.26.00,-596428.45.00,934581.55.00
39,22.168.303.699.999.900,-722788.54.00,-131632.18.00,-106116.44.00,-472178.22.00,130632.58.00
