steps,timestamp,x_pos,y_pos,z_pos,x_vel,y_vel
0,9747.27.00,26132.07.00,-31850.56.00,-1096851.15.00,1144000.57.00,2458.29.00
1,10083.43.00,26133.19.00,-318551.34.00,-109616.49.00,131869.35.00,292342.16.00
2,1208.33.00,26133.33.00,-318574.41.00,-109580.51.00,164011.59.00,366373.41.00
3,10415.22.00,26133.47.00,-318594.08.00,-109543.56.00,1343200.34.00,282420.22.00
4,20.362.295.999.999.900,2615.14.00,-318619.54.00,-109508.32.00,215775.49.00,29837.12.00
5,20.363.281.899.999.900,26135.16.00,-318633.27.00,-109471.26.00,175212.59.00,397889.06.00
6,10917.01.00,26135.51.00,-318651.45.00,-109437.32.00,177392.38.00,220915.59.00
7,11094.35.00,26136.49.00,-318655.04.00,-1094174.16.00,241228.43.00,394457.55.00
8,11251.12.00,2615.35.00,-318650.15.00,-109396.04.00,189411.17.00,28821.59.00
9,11418.56.00,26138.29.00,-318656.56.00,-109377.59.00,187657.21.00,269455.25.00
10,11585.44.00,26139.07.00,-31865.12.00,-1093553.15.00,151757.47.00,329439.34.00
11,1358.15.00,26139.47.00,-318651.12.00,-1093318.04.00,179299.52.00,236208.55.00
12,20.370.314.199.999.900,26140.33.00,-318645.17.00,-109308.14.00,196585.54.00,371387.07.00
13,12097.24.00,26141.08.00,-318646.38.00,-1092820.44.00,219053.26.00,305283.05.00
14,12255.44.00,26141.54.00,-318643.55.00,-109259.53.00,217921.33.00,41392.01.00
15,12421.37.00,26142.06.00,-318638.32.00,-109238.12.00,1115662.45.00,294847.21.00
16,12588.59.00,26143.03.00,-318636.01.00,-109219.55.00,29514.24.00,431703.17.00
17,20.375.341.799.999.900,26143.17.00,-318631.15.00,-109194.58.00,-1702088.25.00,747693.25.00
18,12924.29.00,26143.53.00,-318659.33.00,-109176.47.00,36678.28.00,173099.59.00
19,13092.33.00,26145.24.00,-318627.47.00,-1091499.15.00,94525.41.00,776912.47.00
20,20.378.330.799.999.900,26145.24.00,-318617.13.00,-109134.36.00,187504.39.00,"2,95E+01"
21,13430.17.00,26146.28.00,-31860.11.00,-109117.07.00,163852.49.00,82697.57.00
22,1542.03.00,26146.28.00,-318569.16.00,-109087.17.00,1556213.03.00,1434901.36.00
23,13760.17.00,26147.42.00,-318567.53.00,-109072.06.00,232990.23.00,458051.06.00
